model,prompt,evidence,reference,prediction,count
gemini37f,naive,expanded,not_ai_system,prohibited,0
gemini37f,naive,expanded,not_ai_system,not_ai_system,1
gemini37f,naive,expanded,not_ai_system,insufficient_information,0
gemini37f,naive,expanded,not_ai_system,__missing__,0
gemini37f,naive,expanded,insufficient_information,minimal,0
gemini37f,naive,expanded,insufficient_information,transparency,0
gemini37f,naive,expanded,insufficient_information,high,0
gemini37f,naive,expanded,insufficient_information,prohibited,0
gemini37f,naive,expanded,insufficient_information,not_ai_system,0
gemini37f,naive,expanded,insufficient_information,insufficient_information,0
gemini37f,naive,expanded,insufficient_information,__missing__,0
gemini3f,naive,expanded,minimal,minimal,2
gemini3f,naive,expanded,minimal,transparency,0
gemini3f,naive,expanded,minimal,high,0
gemini3f,naive,expanded,minimal,prohibited,0
gemini3f,naive,expanded,minimal,not_ai_system,0
gemini3f,naive,expanded,minimal,insufficient_information,0
gemini3f,naive,expanded,minimal,__missing__,0
gemini3f,naive,expanded,transparency,minimal,0
gemini3f,naive,expanded,transparency,transparency,1
gemini3f,naive,expanded,transparency,high,0
gemini3f,naive,expanded,transparency,prohibited,0
gemini3f,naive,expanded,transparency,not_ai_system,0
gemini3f,naive,expanded,transparency,insufficient_information,0
gemini3f,naive,expanded,transparency,__missing__,0
gemini3f,naive,expanded,high,minimal,0
gemini3f,naive,expanded,high,transparency,0
gemini3f,naive,expanded,high,high,8
gemini3f,naive,expanded,high,prohibited,1
gemini3f,naive,expanded,high,not_ai_system,0
gemini3f,naive,expanded,high,insufficient_information,0
gemini3f,naive,expanded,high,__missing__,0
gemini3f,naive,expanded,prohibited,minimal,0
gemini3f,naive,expanded,prohibited,transparency,0
gemini3f,naive,expanded,prohibited,high,0
gemini3f,naive,expanded,prohibited,prohibited,1
gemini3f,naive,expanded,prohibited,not_ai_system,0
gemini3f,naive,expanded,prohibited,insufficient_information,0
gemini3f,naive,expanded,prohibited,__missing__,0
gemini3f,naive,expanded,not_ai_system,minimal,0
gemini3f,naive,expanded,not_ai_system,transparency,0
gemini3f,naive,expanded,not_ai_system,high,0
gemini3f,naive,expanded,not_ai_system,prohibited,0
gemini3f,naive,expanded,not_ai_system,not_ai_system,1
gemini3f,naive,expanded,not_ai_system,insufficient_information,0
gemini3f,naive,expanded,not_ai_system,__missing__,0
gemini3f,naive,expanded,insufficient_information,minimal,0
gemini3f,naive,expanded,insufficient_information,transparency,0
gemini3f,naive,expanded,insufficient_information,high,0
gemini3f,naive,expanded,insufficient_information,prohibited,0
gemini3f,naive,expanded,insufficient_information,not_ai_system,0
gemini3f,naive,expanded,insufficient_information,insufficient_information,0
gemini3f,naive,expanded,insufficient_information,__missing__,0
gemma27b,naive,expanded,minimal,minimal,0
gemma27b,naive,expanded,minimal,transparency,0
gemma27b,naive,expanded,minimal,high,2
gemma27b,naive,expanded,minimal,prohibited,0
gemma27b,naive,expanded,minimal,not_ai_system,0
gemma27b,naive,expanded,minimal,insufficient_information,0
gemma27b,naive,expanded,minimal,__missing__,0
gemma27b,naive,expanded,transparency,minimal,0
gemma27b,naive,expanded,transparency,transparency,1
gemma27b,naive,expanded,transparency,high,0
gemma27b,naive,expanded,transparency,prohibited,0
gemma27b,naive,expanded,transparency,not_ai_system,0
gemma27b,naive,expanded,transparency,insufficient_information,0
gemma27b,naive,expanded,transparency,__missing__,0
gemma27b,naive,expanded,high,minimal,0
gemma27b,naive,expanded,high,transparency,0
gemma27b,naive,expanded,high,high,9
gemma27b,naive,expanded,high,prohibited,0
gemma27b,naive,expanded,high,not_ai_system,0
gemma27b,naive,expanded,high,insufficient_information,0
gemma27b,naive,expanded,high,__missing__,0
gemma27b,naive,expanded,prohibited,minimal,0
gemma27b,naive,expanded,prohibited,transparency,0
gemma27b,naive,expanded,prohibited,high,0
gemma27b,naive,expanded,prohibited,prohibited,1
gemma27b,naive,expanded,prohibited,not_ai_system,0
gemma27b,naive,expanded,prohibited,insufficient_information,0
gemma27b,naive,expanded,prohibited,__missing__,0
gemma27b,naive,expanded,not_ai_system,minimal,0
gemma27b,naive,expanded,not_ai_system,transparency,1
gemma27b,naive,expanded,not_ai_system,high,0
gemma27b,naive,expanded,not_ai_system,prohibited,0
gemma27b,naive,expanded,not_ai_system,not_ai_system,0
gemma27b,naive,expanded,not_ai_system,insufficient_information,0
gemma27b,naive,expanded,not_ai_system,__missing__,0
gemma27b,naive,expanded,insufficient_information,minimal,0
gemma27b,naive,expanded,insufficient_information,transparency,0
gemma27b,naive,expanded,insufficient_information,high,0
gemma27b,naive,expanded,insufficient_information,prohibited,0
gemma27b,naive,expanded,insufficient_information,not_ai_system,0
gemma27b,naive,expanded,insufficient_information,insufficient_information,0
gemma27b,naive,expanded,insufficient_information,__missing__,0
gpt52,naive,expanded,minimal,minimal,2
gpt52,naive,expanded,minimal,transparency,0
gpt52,naive,expanded,minimal,high,0
gpt52,naive,expanded,minimal,prohibited,0
gpt52,naive,expanded,minimal,not_ai_system,0
gpt52,naive,expanded,minimal,insufficient_information,0
gpt52,naive,expanded,minimal,__missing__,0
gpt52,naive,expanded,transparency,minimal,0
gpt52,naive,expanded,transparency,transparency,1
gpt52,naive,expanded,transparency,high,0
gpt52,naive,expanded,transparency,prohibited,0
gpt52,naive,expanded,transparency,not_ai_system,0
gpt52,naive,expanded,transparency,insufficient_information,0
gpt52,naive,expanded,transparency,__missing__,0
gpt52,naive,expanded,high,minimal,1
gpt52,naive,expanded,high,transparency,0
gpt52,naive,expanded,high,high,7
gpt52,naive,expanded,high,prohibited,1
gpt52,naive,expanded,high,not_ai_system,0
gpt52,naive,expanded,high,insufficient_information,0
gpt52,naive,expanded,high,__missing__,0
gpt52,naive,expanded,prohibited,minimal,0
gpt52,naive,expanded,prohibited,transparency,0
gpt52,naive,expanded,prohibited,high,0
gpt52,naive,expanded,prohibited,prohibited,1
gpt52,naive,expanded,prohibited,not_ai_system,0
gpt52,naive,expanded,prohibited,insufficient_information,0
gpt52,naive,expanded,prohibited,__missing__,0
gpt52,naive,expanded,not_ai_system,minimal,0
gpt52,naive,expanded,not_ai_system,transparency,0
gpt52,naive,expanded,not_ai_system,high,0
gpt52,naive,expanded,not_ai_system,prohibited,0
gpt52,naive,expanded,not_ai_system,not_ai_system,1
gpt52,naive,expanded,not_ai_system,insufficient_information,0
gpt52,naive,expanded,not_ai_system,__missing__,0
gpt52,naive,expanded,insufficient_information,minimal,0
gpt52,naive,expanded,insufficient_information,transparency,0
gpt52,naive,expanded,insufficient_information,high,0
gpt52,naive,expanded,insufficient_information,prohibited,0
gpt52,naive,expanded,insufficient_information,not_ai_system,0
gpt52,naive,expanded,insufficient_information,insufficient_information,0
gpt52,naive,expanded,insufficient_information,__missing__,0
gpt56luna,naive,expanded,minimal,minimal,2
gpt56luna,naive,expanded,minimal,transparency,0
gpt56luna,naive,expanded,minimal,high,0
gpt56luna,naive,expanded,minimal,prohibited,0
gpt56luna,naive,expanded,minimal,not_ai_system,0
gpt56luna,naive,expanded,minimal,insufficient_information,0
gpt56luna,naive,expanded,minimal,__missing__,0
gpt56luna,naive,expanded,transparency,minimal,0
gpt56luna,naive,expanded,transparency,transparency,1
gpt56luna,naive,expanded,transparency,high,0
gpt56luna,naive,expanded,transparency,prohibited,0
gpt56luna,naive,expanded,transparency,not_ai_system,0
gpt56luna,naive,expanded,transparency,insufficient_information,0
gpt56luna,naive,expanded,transparency,__missing__,0
gpt56luna,naive,expanded,high,minimal,2
gpt56luna,naive,expanded,high,transparency,0
gpt56luna,naive,expanded,high,high,6
gpt56luna,naive,expanded,high,prohibited,1
gpt56luna,naive,expanded,high,not_ai_system,0
gpt56luna,naive,expanded,high,insufficient_information,0
gpt56luna,naive,expanded,high,__missing__,0
gpt56luna,naive,expanded,prohibited,minimal,0
gpt56luna,naive,expanded,prohibited,transparency,0
gpt56luna,naive,expanded,prohibited,high,0
gpt56luna,naive,expanded,prohibited,prohibited,1
gpt56luna,naive,expanded,prohibited,not_ai_system,0
gpt56luna,naive,expanded,prohibited,insufficient_information,0
gpt56luna,naive,expanded,prohibited,__missing__,0
gpt56luna,naive,expanded,not_ai_system,minimal,0
gpt56luna,naive,expanded,not_ai_system,transparency,0
gpt56luna,naive,expanded,not_ai_system,high,0
gpt56luna,naive,expanded,not_ai_system,prohibited,0
gpt56luna,naive,expanded,not_ai_system,not_ai_system,1
gpt56luna,naive,expanded,not_ai_system,insufficient_information,0
gpt56luna,naive,expanded,not_ai_system,__missing__,0
gpt56luna,naive,expanded,insufficient_information,minimal,0
gpt56luna,naive,expanded,insufficient_information,transparency,0
gpt56luna,naive,expanded,insufficient_information,high,0
gpt56luna,naive,expanded,insufficient_information,prohibited,0
gpt56luna,naive,expanded,insufficient_information,not_ai_system,0
gpt56luna,naive,expanded,insufficient_information,insufficient_information,0
gpt56luna,naive,expanded,insufficient_information,__missing__,0
gpt56sol,naive,expanded,minimal,minimal,2
gpt56sol,naive,expanded,minimal,transparency,0
gpt56sol,naive,expanded,minimal,high,0
gpt56sol,naive,expanded,minimal,prohibited,0
gpt56sol,naive,expanded,minimal,not_ai_system,0
gpt56sol,naive,expanded,minimal,insufficient_information,0
gpt56sol,naive,expanded,minimal,__missing__,0
gpt56sol,naive,expanded,transparency,minimal,0
gpt56sol,naive,expanded,transparency,transparency,1
gpt56sol,naive,expanded,transparency,high,0
gpt56sol,naive,expanded,transparency,prohibited,0
gpt56sol,naive,expanded,transparency,not_ai_system,0
gpt56sol,naive,expanded,transparency,insufficient_information,0
gpt56sol,naive,expanded,transparency,__missing__,0
gpt56sol,naive,expanded,high,minimal,2
gpt56sol,naive,expanded,high,transparency,0
gpt56sol,naive,expanded,high,high,5
gpt56sol,naive,expanded,high,prohibited,1
gpt56sol,naive,expanded,high,not_ai_system,1
gpt56sol,naive,expanded,high,insufficient_information,0
gpt56sol,naive,expanded,high,__missing__,0
gpt56sol,naive,expanded,prohibited,minimal,0
gpt56sol,naive,expanded,prohibited,transparency,0
gpt56sol,naive,expanded,prohibited,high,0
gpt56sol,naive,expanded,prohibited,prohibited,1
gpt56sol,naive,expanded,prohibited,not_ai_system,0
gpt56sol,naive,expanded,prohibited,insufficient_information,0
gpt56sol,naive,expanded,prohibited,__missing__,0
gpt56sol,naive,expanded,not_ai_system,minimal,0
gpt56sol,naive,expanded,not_ai_system,transparency,0
gpt56sol,naive,expanded,not_ai_system,high,0
gpt56sol,naive,expanded,not_ai_system,prohibited,0
gpt56sol,naive,expanded,not_ai_system,not_ai_system,1
gpt56sol,naive,expanded,not_ai_system,insufficient_information,0
gpt56sol,naive,expanded,not_ai_system,__missing__,0
gpt56sol,naive,expanded,insufficient_information,minimal,0
gpt56sol,naive,expanded,insufficient_information,transparency,0
gpt56sol,naive,expanded,insufficient_information,high,0
gpt56sol,naive,expanded,insufficient_information,prohibited,0
gpt56sol,naive,expanded,insufficient_information,not_ai_system,0
gpt56sol,naive,expanded,insufficient_information,insufficient_information,0
gpt56sol,naive,expanded,insufficient_information,__missing__,0
grok46,naive,expanded,minimal,minimal,2
grok46,naive,expanded,minimal,transparency,0
grok46,naive,expanded,minimal,high,0
grok46,naive,expanded,minimal,prohibited,0
grok46,naive,expanded,minimal,not_ai_system,0
grok46,naive,expanded,minimal,insufficient_information,0
grok46,naive,expanded,minimal,__missing__,0
grok46,naive,expanded,transparency,minimal,0
grok46,naive,expanded,transparency,transparency,1
grok46,naive,expanded,transparency,high,0
grok46,naive,expanded,transparency,prohibited,0
grok46,naive,expanded,transparency,not_ai_system,0
grok46,naive,expanded,transparency,insufficient_information,0
grok46,naive,expanded,transparency,__missing__,0
grok46,naive,expanded,high,minimal,1
grok46,naive,expanded,high,transparency,1
grok46,naive,expanded,high,high,5
grok46,naive,expanded,high,prohibited,1
grok46,naive,expanded,high,not_ai_system,1
grok46,naive,expanded,high,insufficient_information,0
grok46,naive,expanded,high,__missing__,0
grok46,naive,expanded,prohibited,minimal,0
grok46,naive,expanded,prohibited,transparency,0
grok46,naive,expanded,prohibited,high,0
grok46,naive,expanded,prohibited,prohibited,1
grok46,naive,expanded,prohibited,not_ai_system,0
grok46,naive,expanded,prohibited,insufficient_information,0
grok46,naive,expanded,prohibited,__missing__,0
grok46,naive,expanded,not_ai_system,minimal,0
grok46,naive,expanded,not_ai_system,transparency,0
grok46,naive,expanded,not_ai_system,high,0
grok46,naive,expanded,not_ai_system,prohibited,0
grok46,naive,expanded,not_ai_system,not_ai_system,1
grok46,naive,expanded,not_ai_system,insufficient_information,0
grok46,naive,expanded,not_ai_system,__missing__,0
grok46,naive,expanded,insufficient_information,minimal,0
grok46,naive,expanded,insufficient_information,transparency,0
grok46,naive,expanded,insufficient_information,high,0
grok46,naive,expanded,insufficient_information,prohibited,0
grok46,naive,expanded,insufficient_information,not_ai_system,0
grok46,naive,expanded,insufficient_information,insufficient_information,0
grok46,naive,expanded,insufficient_information,__missing__,0
haiku45,naive,expanded,minimal,minimal,0
haiku45,naive,expanded,minimal,transparency,0
haiku45,naive,expanded,minimal,high,2
haiku45,naive,expanded,minimal,prohibited,0
haiku45,naive,expanded,minimal,not_ai_system,0
haiku45,naive,expanded,minimal,insufficient_information,0
haiku45,naive,expanded,minimal,__missing__,0
haiku45,naive,expanded,transparency,minimal,0
haiku45,naive,expanded,transparency,transparency,0
haiku45,naive,expanded,transparency,high,0
haiku45,naive,expanded,transparency,prohibited,1
haiku45,naive,expanded,transparency,not_ai_system,0
haiku45,naive,expanded,transparency,insufficient_information,0
haiku45,naive,expanded,transparency,__missing__,0
haiku45,naive,expanded,high,minimal,0
haiku45,naive,expanded,high,transparency,0
haiku45,naive,expanded,high,high,9
haiku45,naive,expanded,high,prohibited,0
haiku45,naive,expanded,high,not_ai_system,0
haiku45,naive,expanded,high,insufficient_information,0
haiku45,naive,expanded,high,__missing__,0
haiku45,naive,expanded,prohibited,minimal,0
haiku45,naive,expanded,prohibited,transparency,0
haiku45,naive,expanded,prohibited,high,0
haiku45,naive,expanded,prohibited,prohibited,1
haiku45,naive,expanded,prohibited,not_ai_system,0
haiku45,naive,expanded,prohibited,insufficient_information,0
haiku45,naive,expanded,prohibited,__missing__,0
haiku45,naive,expanded,not_ai_system,minimal,0
haiku45,naive,expanded,not_ai_system,transparency,0
haiku45,naive,expanded,not_ai_system,high,0
haiku45,naive,expanded,not_ai_system,prohibited,0
haiku45,naive,expanded,not_ai_system,not_ai_system,1
haiku45,naive,expanded,not_ai_system,insufficient_information,0
haiku45,naive,expanded,not_ai_system,__missing__,0
haiku45,naive,expanded,insufficient_information,minimal,0
haiku45,naive,expanded,insufficient_information,transparency,0
haiku45,naive,expanded,insufficient_information,high,0
haiku45,naive,expanded,insufficient_information,prohibited,0
haiku45,naive,expanded,insufficient_information,not_ai_system,0
haiku45,naive,expanded,insufficient_information,insufficient_information,0
haiku45,naive,expanded,insufficient_information,__missing__,0
kimi25,naive,expanded,minimal,minimal,1
kimi25,naive,expanded,minimal,transparency,0
kimi25,naive,expanded,minimal,high,1
kimi25,naive,expanded,minimal,prohibited,0
kimi25,naive,expanded,minimal,not_ai_system,0
kimi25,naive,expanded,minimal,insufficient_information,0
kimi25,naive,expanded,minimal,__missing__,0
kimi25,naive,expanded,transparency,minimal,0
kimi25,naive,expanded,transparency,transparency,1
kimi25,naive,expanded,transparency,high,0
kimi25,naive,expanded,transparency,prohibited,0
kimi25,naive,expanded,transparency,not_ai_system,0
kimi25,naive,expanded,transparency,insufficient_information,0
kimi25,naive,expanded,transparency,__missing__,0
kimi25,naive,expanded,high,minimal,0
kimi25,naive,expanded,high,transparency,0
kimi25,naive,expanded,high,high,8
kimi25,naive,expanded,high,prohibited,1
kimi25,naive,expanded,high,not_ai_system,0
kimi25,naive,expanded,high,insufficient_information,0
kimi25,naive,expanded,high,__missing__,0
kimi25,naive,expanded,prohibited,minimal,0
kimi25,naive,expanded,prohibited,transparency,0
kimi25,naive,expanded,prohibited,high,0
kimi25,naive,expanded,prohibited,prohibited,1
kimi25,naive,expanded,prohibited,not_ai_system,0
kimi25,naive,expanded,prohibited,insufficient_information,0
kimi25,naive,expanded,prohibited,__missing__,0
kimi25,naive,expanded,not_ai_system,minimal,0
kimi25,naive,expanded,not_ai_system,transparency,0
kimi25,naive,expanded,not_ai_system,high,0
kimi25,naive,expanded,not_ai_system,prohibited,0
kimi25,naive,expanded,not_ai_system,not_ai_system,1
kimi25,naive,expanded,not_ai_system,insufficient_information,0
kimi25,naive,expanded,not_ai_system,__missing__,0
kimi25,naive,expanded,insufficient_information,minimal,0
kimi25,naive,expanded,insufficient_information,transparency,0
kimi25,naive,expanded,insufficient_information,high,0
kimi25,naive,expanded,insufficient_information,prohibited,0
kimi25,naive,expanded,insufficient_information,not_ai_system,0
kimi25,naive,expanded,insufficient_information,insufficient_information,0
kimi25,naive,expanded,insufficient_information,__missing__,0
kimi3,naive,expanded,minimal,minimal,2
kimi3,naive,expanded,minimal,transparency,0
kimi3,naive,expanded,minimal,high,0
kimi3,naive,expanded,minimal,prohibited,0
kimi3,naive,expanded,minimal,not_ai_system,0
kimi3,naive,expanded,minimal,insufficient_information,0
kimi3,naive,expanded,minimal,__missing__,0
kimi3,naive,expanded,transparency,minimal,0
kimi3,naive,expanded,transparency,transparency,1
kimi3,naive,expanded,transparency,high,0
kimi3,naive,expanded,transparency,prohibited,0
kimi3,naive,expanded,transparency,not_ai_system,0
kimi3,naive,expanded,transparency,insufficient_information,0
kimi3,naive,expanded,transparency,__missing__,0
kimi3,naive,expanded,high,minimal,0
kimi3,naive,expanded,high,transparency,0
kimi3,naive,expanded,high,high,8
kimi3,naive,expanded,high,prohibited,1
kimi3,naive,expanded,high,not_ai_system,0
kimi3,naive,expanded,high,insufficient_information,0
kimi3,naive,expanded,high,__missing__,0
kimi3,naive,expanded,prohibited,minimal,0
kimi3,naive,expanded,prohibited,transparency,0
kimi3,naive,expanded,prohibited,high,0
kimi3,naive,expanded,prohibited,prohibited,0
kimi3,naive,expanded,prohibited,not_ai_system,0
kimi3,naive,expanded,prohibited,insufficient_information,0
kimi3,naive,expanded,prohibited,__missing__,1
kimi3,naive,expanded,not_ai_system,minimal,0
kimi3,naive,expanded,not_ai_system,transparency,0
kimi3,naive,expanded,not_ai_system,high,0
kimi3,naive,expanded,not_ai_system,prohibited,0
kimi3,naive,expanded,not_ai_system,not_ai_system,1
kimi3,naive,expanded,not_ai_system,insufficient_information,0
kimi3,naive,expanded,not_ai_system,__missing__,0
kimi3,naive,expanded,insufficient_information,minimal,0
kimi3,naive,expanded,insufficient_information,transparency,0
kimi3,naive,expanded,insufficient_information,high,0
kimi3,naive,expanded,insufficient_information,prohibited,0
kimi3,naive,expanded,insufficient_information,not_ai_system,0
kimi3,naive,expanded,insufficient_information,insufficient_information,0
kimi3,naive,expanded,insufficient_information,__missing__,0
qwen3827b,naive,expanded,minimal,minimal,2
qwen3827b,naive,expanded,minimal,transparency,0
qwen3827b,naive,expanded,minimal,high,0
qwen3827b,naive,expanded,minimal,prohibited,0
qwen3827b,naive,expanded,minimal,not_ai_system,0
qwen3827b,naive,expanded,minimal,insufficient_information,0
qwen3827b,naive,expanded,minimal,__missing__,0
qwen3827b,naive,expanded,transparency,minimal,0
qwen3827b,naive,expanded,transparency,transparency,1
qwen3827b,naive,expanded,transparency,high,0
qwen3827b,naive,expanded,transparency,prohibited,0
qwen3827b,naive,expanded,transparency,not_ai_system,0
qwen3827b,naive,expanded,transparency,insufficient_information,0
qwen3827b,naive,expanded,transparency,__missing__,0
qwen3827b,naive,expanded,high,minimal,3
qwen3827b,naive,expanded,high,transparency,0
qwen3827b,naive,expanded,high,high,6
qwen3827b,naive,expanded,high,prohibited,0
qwen3827b,naive,expanded,high,not_ai_system,0
qwen3827b,naive,expanded,high,insufficient_information,0
qwen3827b,naive,expanded,high,__missing__,0
qwen3827b,naive,expanded,prohibited,minimal,0
qwen3827b,naive,expanded,prohibited,transparency,0
qwen3827b,naive,expanded,prohibited,high,0
qwen3827b,naive,expanded,prohibited,prohibited,1
qwen3827b,naive,expanded,prohibited,not_ai_system,0
qwen3827b,naive,expanded,prohibited,insufficient_information,0
qwen3827b,naive,expanded,prohibited,__missing__,0
qwen3827b,naive,expanded,not_ai_system,minimal,0
qwen3827b,naive,expanded,not_ai_system,transparency,0
qwen3827b,naive,expanded,not_ai_system,high,0
qwen3827b,naive,expanded,not_ai_system,prohibited,0
qwen3827b,naive,expanded,not_ai_system,not_ai_system,1
qwen3827b,naive,expanded,not_ai_system,insufficient_information,0
qwen3827b,naive,expanded,not_ai_system,__missing__,0
qwen3827b,naive,expanded,insufficient_information,minimal,0
qwen3827b,naive,expanded,insufficient_information,transparency,0
qwen3827b,naive,expanded,insufficient_information,high,0
qwen3827b,naive,expanded,insufficient_information,prohibited,0
qwen3827b,naive,expanded,insufficient_information,not_ai_system,0
qwen3827b,naive,expanded,insufficient_information,insufficient_information,0
qwen3827b,naive,expanded,insufficient_information,__missing__,0
qwen38max,naive,expanded,minimal,minimal,1
qwen38max,naive,expanded,minimal,transparency,0
qwen38max,naive,expanded,minimal,high,0
qwen38max,naive,expanded,minimal,prohibited,0
qwen38max,naive,expanded,minimal,not_ai_system,0
qwen38max,naive,expanded,minimal,insufficient_information,0
qwen38max,naive,expanded,minimal,__missing__,1
qwen38max,naive,expanded,transparency,minimal,0
qwen38max,naive,expanded,transparency,transparency,1
qwen38max,naive,expanded,transparency,high,0
qwen38max,naive,expanded,transparency,prohibited,0
qwen38max,naive,expanded,transparency,not_ai_system,0
qwen38max,naive,expanded,transparency,insufficient_information,0
qwen38max,naive,expanded,transparency,__missing__,0
qwen38max,naive,expanded,high,minimal,0
qwen38max,naive,expanded,high,transparency,0
qwen38max,naive,expanded,high,high,6
qwen38max,naive,expanded,high,prohibited,1
qwen38max,naive,expanded,high,not_ai_system,0
qwen38max,naive,expanded,high,insufficient_information,0
qwen38max,naive,expanded,high,__missing__,2
qwen38max,naive,expanded,prohibited,minimal,0
qwen38max,naive,expanded,prohibited,transparency,0
qwen38max,naive,expanded,prohibited,high,0
qwen38max,naive,expanded,prohibited,prohibited,1
qwen38max,naive,expanded,prohibited,not_ai_system,0
qwen38max,naive,expanded,prohibited,insufficient_information,0
qwen38max,naive,expanded,prohibited,__missing__,0
qwen38max,naive,expanded,not_ai_system,minimal,0
qwen38max,naive,expanded,not_ai_system,transparency,0
qwen38max,naive,expanded,not_ai_system,high,0
qwen38max,naive,expanded,not_ai_system,prohibited,0
qwen38max,naive,expanded,not_ai_system,not_ai_system,1
qwen38max,naive,expanded,not_ai_system,insufficient_information,0
qwen38max,naive,expanded,not_ai_system,__missing__,0
qwen38max,naive,expanded,insufficient_information,minimal,0
qwen38max,naive,expanded,insufficient_information,transparency,0
qwen38max,naive,expanded,insufficient_information,high,0
qwen38max,naive,expanded,insufficient_information,prohibited,0
qwen38max,naive,expanded,insufficient_information,not_ai_system,0
qwen38max,naive,expanded,insufficient_information,insufficient_information,0
qwen38max,naive,expanded,insufficient_information,__missing__,0
sonnet46,naive,expanded,minimal,minimal,2
sonnet46,naive,expanded,minimal,transparency,0
sonnet46,naive,expanded,minimal,high,0
sonnet46,naive,expanded,minimal,prohibited,0
sonnet46,naive,expanded,minimal,not_ai_system,0
sonnet46,naive,expanded,minimal,insufficient_information,0
sonnet46,naive,expanded,minimal,__missing__,0
sonnet46,naive,expanded,transparency,minimal,0
sonnet46,naive,expanded,transparency,transparency,1
sonnet46,naive,expanded,transparency,high,0
sonnet46,naive,expanded,transparency,prohibited,0
sonnet46,naive,expanded,transparency,not_ai_system,0
sonnet46,naive,expanded,transparency,insufficient_information,0
sonnet46,naive,expanded,transparency,__missing__,0
sonnet46,naive,expanded,high,minimal,0
sonnet46,naive,expanded,high,transparency,0
sonnet46,naive,expanded,high,high,9
sonnet46,naive,expanded,high,prohibited,0
sonnet46,naive,expanded,high,not_ai_system,0
sonnet46,naive,expanded,high,insufficient_information,0
sonnet46,naive,expanded,high,__missing__,0
sonnet46,naive,expanded,prohibited,minimal,0
sonnet46,naive,expanded,prohibited,transparency,0
sonnet46,naive,expanded,prohibited,high,0
sonnet46,naive,expanded,prohibited,prohibited,1
sonnet46,naive,expanded,prohibited,not_ai_system,0
sonnet46,naive,expanded,prohibited,insufficient_information,0
sonnet46,naive,expanded,prohibited,__missing__,0
sonnet46,naive,expanded,not_ai_system,minimal,0
sonnet46,naive,expanded,not_ai_system,transparency,0
sonnet46,naive,expanded,not_ai_system,high,0
sonnet46,naive,expanded,not_ai_system,prohibited,0
sonnet46,naive,expanded,not_ai_system,not_ai_system,1
sonnet46,naive,expanded,not_ai_system,insufficient_information,0
sonnet46,naive,expanded,not_ai_system,__missing__,0
sonnet46,naive,expanded,insufficient_information,minimal,0
sonnet46,naive,expanded,insufficient_information,transparency,0
sonnet46,naive,expanded,insufficient_information,high,0
sonnet46,naive,expanded,insufficient_information,prohibited,0
sonnet46,naive,expanded,insufficient_information,not_ai_system,0
sonnet46,naive,expanded,insufficient_information,insufficient_information,0
sonnet46,naive,expanded,insufficient_information,__missing__,0
sonnet5,naive,expanded,minimal,minimal,2
sonnet5,naive,expanded,minimal,transparency,0
sonnet5,naive,expanded,minimal,high,0
sonnet5,naive,expanded,minimal,prohibited,0
sonnet5,naive,expanded,minimal,not_ai_system,0
sonnet5,naive,expanded,minimal,insufficient_information,0
sonnet5,naive,expanded,minimal,__missing__,0
sonnet5,naive,expanded,transparency,minimal,0
sonnet5,naive,expanded,transparency,transparency,1
sonnet5,naive,expanded,transparency,high,0
sonnet5,naive,expanded,transparency,prohibited,0
sonnet5,naive,expanded,transparency,not_ai_system,0
sonnet5,naive,expanded,transparency,insufficient_information,0
sonnet5,naive,expanded,transparency,__missing__,0
sonnet5,naive,expanded,high,minimal,0
sonnet5,naive,expanded,high,transparency,0
sonnet5,naive,expanded,high,high,6
sonnet5,naive,expanded,high,prohibited,1
sonnet5,naive,expanded,high,not_ai_system,0
sonnet5,naive,expanded,high,insufficient_information,0
sonnet5,naive,expanded,high,__missing__,2
sonnet5,naive,expanded,prohibited,minimal,0
sonnet5,naive,expanded,prohibited,transparency,0
sonnet5,naive,expanded,prohibited,high,0
sonnet5,naive,expanded,prohibited,prohibited,1
sonnet5,naive,expanded,prohibited,not_ai_system,0
sonnet5,naive,expanded,prohibited,insufficient_information,0
sonnet5,naive,expanded,prohibited,__missing__,0
sonnet5,naive,expanded,not_ai_system,minimal,0
sonnet5,naive,expanded,not_ai_system,transparency,0
sonnet5,naive,expanded,not_ai_system,high,0
sonnet5,naive,expanded,not_ai_system,prohibited,0
sonnet5,naive,expanded,not_ai_system,not_ai_system,1
sonnet5,naive,expanded,not_ai_system,insufficient_information,0
sonnet5,naive,expanded,not_ai_system,__missing__,0
sonnet5,naive,expanded,insufficient_information,minimal,0
sonnet5,naive,expanded,insufficient_information,transparency,0
sonnet5,naive,expanded,insufficient_information,high,0
sonnet5,naive,expanded,insufficient_information,prohibited,0
sonnet5,naive,expanded,insufficient_information,not_ai_system,0
sonnet5,naive,expanded,insufficient_information,insufficient_information,0
sonnet5,naive,expanded,insufficient_information,__missing__,0
gemini37f,decomposed,short,minimal,minimal,2
gemini37f,decomposed,short,minimal,transparency,0
gemini37f,decomposed,short,minimal,high,0
gemini37f,decomposed,short,minimal,prohibited,0
gemini37f,decomposed,short,minimal,not_ai_system,0
gemini37f,decomposed,short,minimal,insufficient_information,0
gemini37f,decomposed,short,minimal,__missing__,0
gemini37f,decomposed,short,transparency,minimal,0
gemini37f,decomposed,short,transparency,transparency,1
gemini37f,decomposed,short,transparency,high,0
gemini37f,decomposed,short,transparency,prohibited,0
gemini37f,decomposed,short,transparency,not_ai_system,0
gemini37f,decomposed,short,transparency,insufficient_information,0
