sample_id,split,year,title,L1_art5_prohibited,L3_annex_i_product,L2_annex_iii_domain,L4_art6_3_derogation,L5_profiling_override,L6_art50_transparency,FINAL_risk_tier,confidence_1to3,consulted_full_page,notes
S128,heldout,2026,Purported Deepfake Video Reportedly Portrayed Nirmala Sitharaman Endorsing Investment Scheme,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,The finance-minister deepfake was purposefully deployed as investment fraud with significant financial harm.
S129,heldout,2023,Video with Reportedly AI-Generated Audio Purported to Show Croatian Footballer Luka Modrić Endorsing Immediate Matrix on Facebook Page Presented as N1 HR,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,The cloned voice was purposefully deployed to induce investment losses.
S130,dev,2026,PocketOS Production Database Was Reportedly Deleted by Cursor AI Agent Running Claude Opus 4.6,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,The coding agent directly interacted with a user and generated executable instructions; the database deletion was an ordinary agent-control failure.
S131,heldout,2025,"AI-Themed Investment Scam Network Reportedly Used Keitaro Cloaking Across 15,500 Domains",yes,no,none,not_applicable,not_applicable,yes,prohibited,3,no,"The coordinated operation generated deceptive personas, endorsements and promotional content for significant investment fraud."
S132,dev,2025,"ChatGPT Was Allegedly Consulted About Attack Options Before Teen Attempted to Stab Officer at Tira, Israel, Police Station",no,no,none,not_applicable,not_applicable,yes,transparency,2,no,"A criminal's use of a general chatbot is not Annex III law enforcement, and the record does not establish that the system encouraged or materially assisted the attack."
S133,heldout,2026,Gemini and Grok Reportedly Misidentified Authentic Minab School-Strike Graveyard Photo as Unrelated Disaster Imagery,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,"Misidentifying authentic media is an ordinary chatbot error, not purposeful manipulation."
S134,heldout,2026,Reported AI-Generated Videos Purported to Show Kosovo Diaspora Mobilization for Vetëvendosje Before Snap Elections,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,"The synthetic election videos were deliberately deployed to mislead voters. The record does not show a purpose-built election-influence system, so Annex III is not applied."
S135,heldout,2025,Purported Deepfake Video Reportedly Impersonated Former Mongolian Deputy Prime Minister Amarsaikhan Sainbuyan in Investment Scam,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,The deputy-prime-minister deepfake was purposefully deployed as an investment scam with significant financial harm.
S136,heldout,2026,Reported AI-Generated Image Portrayed Vetëvendosje Official Dejona Mihali Meeting Aleksandar Vučić,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,The synthetic election image was deliberately deployed to mislead voters. General-purpose image generation misused in a campaign is not itself Annex III justice/democracy.
S137,dev,2025,Reported Deepfake Video Impersonating Mark Carney Used in Nearly $1M Cryptocurrency Scam Targeting Ontario Senior,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,"The deepfake investment scam expressly targeted a retiree, exploiting age and economic vulnerability and causing nearly $1 million in losses."
S138,heldout,2026,Waymo Robotaxi Reportedly Entered Flooded San Antonio Roadway and Was Swept Into Waterway,no,yes,none,not_applicable,not_applicable,no,high,3,no,
S139,heldout,2026,South African Home Affairs Revised White Paper Reportedly Included Fictitious References Believed to Be AI-Generated,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,AI-assisted policy drafting is not an individual migration decision; the fabricated references are synthetic text and an ordinary generative error.
S140,heldout,2025,KPMG Report Allegedly Included Hallucinated Citations and Inaccurate Agentic AI Case Studies,no,unclear,unclear,unclear,unclear,unclear,insufficient_information,2,no,"AI involvement and the specific system were not confirmed, so the function and deployment context cannot be classified reliably."
S141,heldout,2026,PRC-Linked Accounts Reportedly Used ChatGPT in Covert Campaigns Targeting U.S. AI Policy Debates,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,The covert operation purposefully generated deceptive personas and content to manipulate a consequential policy debate; it was not an election-use system.
S142,heldout,2026,Waymo Robotaxi Reportedly Caught Fire After Driving Over Firework in San Francisco,no,yes,none,not_applicable,not_applicable,no,high,3,no,
S143,heldout,2026,Purported Philip Morris-Backed AI Tool Reportedly Generated Responses Opposing Stricter EU Tobacco Rules,yes,no,none,not_applicable,not_applicable,yes,prohibited,3,no,"The tool was configured to insert arguments users had not selected, purposefully distorting public-consultation submissions with plausible significant public-health effects."
S144,dev,2026,Purportedly AI-Powered Software Allegedly Used to Replace Montefiore Hospital Utilization-Review Nurses Despite Contractual AI Safeguards,no,no,none,not_applicable,not_applicable,no,minimal,2,no,"The record describes nonclinical paperwork automation, not a medical device or an AI system deciding recruitment, termination, task allocation, or worker monitoring."
S145,heldout,2026,City of Spokane Reportedly Distributed Purported AI-Generated Clocktower Flyer Resembling Graphic Designer Matthew Clinard's Artwork,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,
S146,heldout,2026,Waymo Robotaxi Reportedly Remained Immobilized While Vandals Smashed Vehicle with Passenger Inside,no,yes,none,not_applicable,not_applicable,no,high,3,no,
S147,dev,2026,"Purported AI-Generated Image Reportedly Won First Prize in Hohhot, Inner Mongolia, Photography Competition Before Award Was Revoked",no,no,none,not_applicable,not_applicable,yes,transparency,2,no,"Submitting a synthetic image as photography was deceptive, but the record does not establish significant harm sufficient for Article 5."
S148,heldout,2026,Purportedly AI-Generated Memorial Posters Reportedly Presented Fabricated Child Portraits as Victims of South African School Transport Crash,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,The false memorial portraits were deliberately fabricated and were likely to cause significant psychological harm to grieving families and the public.
S149,heldout,2021,Queensland Man Allegedly Distributed Purportedly AI-Generated Sexual Posters Falsely Advertising Women for Sex,no,no,none,not_applicable,not_applicable,yes,transparency,2,no,"Face-swapped explicit posters were deliberately fabricated to create false sexual advertising, with likely significant reputational and psychological harm."
S150,heldout,2026,Publicly Shared Claude Artifacts Reportedly Became Discoverable Through Google Search,no,no,none,not_applicable,not_applicable,yes,transparency,3,no,
