sample_id,split,condition,model,run,risk_tier,steps,rationale,pilot
S025,heldout,decomposed,gpt56sol,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""does_not_apply"", ""profiling"": ""no"", ""art50"": ""no""}","The police deployed facial recognition to identify people in real time at a publicly accessible carnival, with no evidence that a narrowly defined law-enforcement exception applied.",False
S026,heldout,decomposed,gpt56sol,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","Amazon’s Choice infers product recommendations from inputs such as reviews, but product recommendation is governed outside Annex III, is not an Annex I safety component, and the record does not establish a prohibited practice or an Article 50 transparency function.",False
S027,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""migration"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system inferred visa-application risk from applicants’ personal data, including nationality, to influence scrutiny in migration decision-making, constituting profiling in an Annex III migration use.",False
S028,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""migration"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system inferred sham-marriage risk from personal data to flag immigrant couples for investigation in a migration and residence context, thereby influencing official scrutiny and profiling natural persons.",False
S029,heldout,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The hotel service robots inferred responses or actions when assisting guests, fell outside prohibited practices and high-risk product or Annex III uses, but directly interacted with natural persons and therefore triggered Article 50 transparency duties.",False
S030,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",Tesla Autopilot infers driving actions from sensor inputs and functions as a safety component of a motor vehicle subject to third-party conformity assessment under Annex I.,False
S031,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""yes""}","The system inferred customers’ age and gender from facial biometric data, making it an Annex III biometric-categorisation and profiling system, while the inferred attributes do not fall within Article 5(1)(g)’s exhaustive prohibited list.",False
S032,dev,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""does_not_apply"", ""profiling"": ""no"", ""art50"": ""no""}","The facial-recognition system was deployed by a public-security authority to identify or flag individuals, placing it in Annex III biometrics without evidence of a limited derogated role, while the record does not establish prohibited real-time use in publicly accessible spaces or sensitive-trait categorisation.",False
S033,heldout,decomposed,gpt56sol,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""does_not_apply"", ""profiling"": ""no"", ""art50"": ""no""}","Clearview AI infers identity from facial images and relies on untargeted scraping of internet images to build or expand a facial-recognition database, a prohibited practice under Article 5(1)(e).",False
S034,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""employment"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The algorithm profiles users to determine who receives targeted job advertisements, directly influencing recruitment access within Annex III employment without a qualifying derogation.",False
S035,heldout,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","Lensa’s Magic Avatars infers how to generate synthetic images from user photos, but it is not used for a prohibited practice, regulated product safety function, or Annex III purpose, so only Article 50 transparency obligations apply.",False
S036,dev,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""education"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""yes""}","The AI-enabled proctoring tools monitor students during examinations for possible cheating, an Annex III education use that evaluates student behaviour and is therefore high-risk, while their direct interaction with students also triggers Article 50 transparency duties.",False
S037,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The AI-based Navigation Guided Pilot is a safety component of a motor vehicle, a product category normally subject to third-party conformity assessment under Union harmonisation legislation, so it is high-risk under Article 6(1).",False
S038,heldout,decomposed,gpt56sol,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The facial-recognition system performs one-to-one device-owner authentication, which is neither a prohibited biometric practice nor an Annex III remote biometric-identification use, and the robbers’ criminal misuse does not alter its intended purpose.",False
S039,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""migration"", ""derogation"": ""does_not_apply"", ""profiling"": ""no"", ""art50"": ""no""}","The facial-recognition system infers travelers’ identities from biometric inputs for immigration and border screening, an Annex III migration use, and its identification function is substantive rather than a limited preparatory or procedural task.",False
S040,dev,decomposed,gpt56sol,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The system inferred accidents from device sensor data and initiated emergency calls, but it was neither a third-party-assessed safety component nor an Annex III emergency-call evaluation or triage system, and the record does not establish an Article 50 function.",False
S041,heldout,decomposed,gpt56sol,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The system automated hate-speech moderation on a social-media platform, which is neither prohibited nor within Annex I or Annex III, and content moderation alone does not trigger Article 50 transparency duties.",False
S042,dev,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","Tesla Full Self-Driving infers vehicle-driving outputs and is a safety component of a motor vehicle normally subject to third-party conformity assessment under Annex I, making it high-risk regardless of the reported crash risk.",False
S043,dev,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""migration"", ""derogation"": ""does_not_apply"", ""profiling"": ""no"", ""art50"": ""no""}","The facial-recognition system identifies asylum seekers in a border and asylum-management context and effectively controls their ability to submit applications, placing it within Annex III migration uses without a limited-task derogation.",False
S044,dev,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The LLM infers how to generate synthetic story text, but its use for magazine submissions falls outside prohibited practices, Annex I products, and Annex III areas while triggering Article 50 transparency obligations.",False
S045,dev,decomposed,gpt56sol,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The AI was configured to generate deceptive disaster images that materially impaired users’ donation decisions and caused or was likely to cause significant financial harm, while also generating synthetic images subject to Article 50 transparency duties.",False
S046,heldout,decomposed,gpt56sol,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The system inferred an expected recovery or treatment duration to support an insurer’s payment decision, but the record does not establish a regulated medical-device safety function, public-benefit eligibility use, or health-insurance risk assessment or pricing covered by Annex III.",False
S047,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""does_not_apply"", ""profiling"": ""no"", ""art50"": ""no""}","The facial-recognition system inferred identity matches for police use, constituting Annex III remote biometric identification, while the retrospective search was not prohibited real-time identification and materially influenced the identification decision.",False
S048,dev,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system generated synthetic audio mimicking identifiable artists but was not used for a prohibited practice, an Annex I safety function, or an Annex III high-risk purpose, so Article 50 transparency obligations apply.",False
S049,dev,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""migration"", ""derogation"": ""applies"", ""profiling"": ""no"", ""art50"": ""yes""}","The automated translation system generated text for an asylum proceeding but performed only a preparatory translation task without profiling or deciding the claim, so the Annex III derogation applies while Article 50 transparency duties remain relevant.",False
S050,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",Tesla FSD infers driving-relevant objects from sensor inputs and functions as a safety component of a motor vehicle subject to third-party conformity assessment under Annex I.,False
S051,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""essential_services"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system profiles families’ economic circumstances to rank eligibility for public cash-transfer benefits, making it a high-risk essential-services system under Annex III rather than prohibited social scoring because the score is used in the directly related welfare context.",False
S052,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",Tesla Autopilot infers driving actions from sensor inputs and is a safety component of a motor vehicle normally subject to third-party conformity assessment under Union harmonisation legislation.,False
S053,dev,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system generated synthetic book text for commercial publication, which is not an Annex I or Annex III use or a demonstrated prohibited practice but triggers Article 50 transparency obligations for AI-generated content.",False
S054,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""employment"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The algorithm profiles users and determines delivery of targeted job advertisements, an employment recruitment function expressly covered by Annex III, without merely performing a limited preparatory or procedural task.",False
S055,heldout,decomposed,gpt56sol,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The systems infer labels for general photo content but are not intended for prohibited biometric categorisation, an Annex I safety function, an Annex III use, or an Article 50 transparency-triggering function.",False
S056,dev,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system inferred and generated synthetic book text, but its content-generation use falls under no prohibited practice, Annex I product category, or Annex III area, while triggering Article 50 transparency obligations.",False
S057,heldout,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}",The application inferentially generates a modified synthetic image but is not shown to perform prohibited biometric categorisation or any Annex I or Annex III high-risk function.,False
S058,heldout,decomposed,gpt56sol,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The produce-stacking robot used inferential perception to distinguish people from boxes, but it was general industrial machinery rather than a normally third-party-assessed product or an Annex III employment system, and no prohibited practice or Article 50 function is indicated.",False
S059,dev,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""essential_services"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system profiles benefit recipients using personal characteristics to flag suspected fraud and influence suspension or review of Universal Credit eligibility, placing it within Annex III essential public services without an Article 6(3) derogation.",False
S060,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system remotely identified shoppers using facial biometrics and evaluated them as likely shoplifters, an Annex III biometric use that influenced loss-prevention decisions and profiled natural persons.",False
S061,dev,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""biometrics"", ""derogation"": ""does_not_apply"", ""profiling"": ""no"", ""art50"": ""no""}","The facial-recognition system inferred a person’s identity from biometric data and materially drove suspect identification, placing it in Annex III biometrics without a narrow-task derogation.",False
S062,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The autonomous-driving AI controls a motor vehicle as a safety-critical product component subject to third-party conformity assessment under Annex I, making it high-risk under Article 6(1).",False
S063,heldout,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The deepfake-generation system infers how to create synthetic pornographic visual content, falls under no identified prohibited practice or high-risk category, but is subject to Article 50 transparency duties for AI-generated content and deep fakes.",False
S064,heldout,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The generative AI inferred how to create synthetic nude images, but it was not used for an Annex III education function or a prohibited practice and is subject to Article 50 transparency obligations for synthetic image generation.",False
S065,dev,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system generated a synthetic video for public education or publication promotion rather than being built or deployed to influence voting behaviour, so it falls outside Annex III but triggers Article 50 transparency duties.",False
S066,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""justice_democracy"", ""derogation"": ""does_not_apply"", ""profiling"": ""no"", ""art50"": ""yes""}","The AI was developed and deployed to generate a political deepfake intended to influence voter behaviour during an election, placing it in Annex III’s justice-and-democracy area without a derogation, while also triggering Article 50 synthetic-content transparency duties.",False
S067,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""justice_democracy"", ""derogation"": ""does_not_apply"", ""profiling"": ""no"", ""art50"": ""yes""}","The system generated a synthetic imitation of Donald Trump’s voice for an advertisement deployed to influence voters, placing it in Annex III’s justice-and-democracy area without a derogation, while also triggering Article 50 transparency duties.",False
S068,dev,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""justice_democracy"", ""derogation"": ""does_not_apply"", ""profiling"": ""no"", ""art50"": ""yes""}","The image-generation system was deployed to create synthetic political advertising intended to influence voting behaviour, placing it in Annex III’s justice-and-democracy area without a qualifying derogation and also triggering Article 50 transparency duties.",False
S069,dev,decomposed,gpt56sol,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The generative AI tools were deliberately deployed to create deceptive synthetic news content intended to impair the informed decision-making of millions, while also generating synthetic text and images subject to Article 50 transparency duties.",False
S070,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",Tesla’s automated-driving system infers vehicle-control outputs and is a safety component of a motor vehicle normally subject to third-party conformity assessment under Union harmonisation legislation.,False
S071,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",Tesla Autopilot infers driving actions from sensor inputs and is a safety component of a motor vehicle subject to third-party conformity assessment under Union harmonisation legislation.,False
S072,heldout,decomposed,gpt56sol,1,insufficient_information,"{""art3_1"": ""yes"", ""art5"": ""unclear"", ""annex_i"": ""unclear"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""unclear""}","The record states only that criminal groups use AI to support fraud and trafficking, without identifying the system’s function, intended purpose, product context, or outputs sufficiently to classify it.",False
S073,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""essential_services"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The system profiles housing-benefit claimants for fraud risk and selects claims for investigation, materially influencing access to an essential public benefit rather than merely performing a preparatory or procedural task.",False
S074,dev,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The incident involves a general-purpose deepfake generator used to create synthetic political media, but the record does not show that the system itself was built or deployed specifically to influence elections or configured to employ a prohibited manipulative technique, so only Article 50 transparency obligations apply.",False
S075,heldout,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","Grok is an inferential chatbot that generates synthetic text for users, but ordinary misinformation or hallucination is not a prohibited manipulative practice and this general-purpose summarization use falls under neither Annex I nor Annex III.",False
S076,dev,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The face-swapping system inferentially generated synthetic pornographic video depicting a real person, but it was not used for a prohibited practice or an Annex I or III purpose, so its deepfake-generation function triggers Article 50 transparency duties.",False
S077,heldout,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The nudification app infers synthetic sexual imagery from submitted photographs, but it is neither a prohibited practice nor an Annex I or Annex III use, while its generation of synthetic images triggers Article 50 transparency obligations.",False
S078,heldout,decomposed,gpt56sol,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The AI was deliberately deployed to generate deceptive executive deepfakes that impaired employees’ informed decision-making and caused significant financial harm, engaging Article 5(1)(a), while also generating synthetic audio and video under Article 50.",False
S079,dev,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""unclear"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The incident involves AI-generated synthetic propaganda and algorithmic content amplification, which fall outside Annex III but trigger Article 50 transparency duties, while the record does not establish all elements required for prohibited manipulation.",False
S080,heldout,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system generated synthetic radio presenters and interview content rather than making employment decisions, so it falls outside Annex III but triggers Article 50 transparency obligations for AI-generated audio and text.",False
S081,dev,decomposed,gpt56sol,1,minimal,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}","The AI classifies observed driving conduct for traffic enforcement, but it does not perform a prohibited practice, serve as a regulated product safety component, or fall within an enumerated Annex III law-enforcement use such as profiling, offence-risk assessment, or evaluating evidence reliability.",False
S082,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""essential_services"", ""derogation"": ""does_not_apply"", ""profiling"": ""yes"", ""art50"": ""no""}","The machine-learning system determines eligibility for a publicly provided utility-bill discount by evaluating individuals’ financial circumstances, placing it within Annex III essential services with profiling and no applicable derogation.",False
S083,dev,decomposed,gpt56sol,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The AI-generated deepfakes were deliberately deployed as deceptive impersonation techniques to impair the victim’s informed decision-making and induce financially harmful payments, while also generating synthetic content subject to Article 50 transparency duties.",False
S084,dev,decomposed,gpt56sol,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The AI generated deceptive impersonation videos purposefully deployed to impair consumers’ informed health-purchasing decisions and likely cause significant harm, triggering Article 5(1)(a), while also generating synthetic deepfake content subject to Article 50 transparency duties.",False
S085,heldout,decomposed,gpt56sol,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The AI generated a deceptive deepfake impersonating the prime minister and was deliberately deployed to impair investment decision-making and cause significant financial harm, while also triggering transparency duties for synthetic video.",False
S086,heldout,decomposed,gpt56sol,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The AI generated a purposefully deceptive phishing communication impersonating a town official to impair the recipient’s informed decision-making and induce a substantial fraudulent payment, while also generating synthetic text subject to Article 50 transparency duties.",False
S087,heldout,decomposed,gpt56sol,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The deployed system generated deliberately deceptive synthetic images and voice impersonating Luis Suárez to materially distort users’ investment decisions and facilitate phishing, triggering Article 5(1)(a), while also generating deepfake content subject to Article 50 transparency duties.",False
S088,heldout,decomposed,gpt56sol,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system generated deceptive impersonation images specifically to impair victims’ informed decision-making and induce fraudulent investments causing significant financial harm, triggering Article 5(1)(a), while also generating synthetic content subject to Article 50 transparency duties.",False
S089,dev,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The system generated or altered synthetic audio but was a general-purpose content-generation tool misused by users rather than developed and deployed specifically to influence voting, so it falls outside Annex III while triggering Article 50 transparency duties.",False
S090,heldout,decomposed,gpt56sol,1,high,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""yes"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""no""}",Tesla FSD infers driving actions from sensor inputs and functions as a safety component of a motor vehicle subject to third-party conformity assessment under Annex I.,False
S091,heldout,decomposed,gpt56sol,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The scammers deploy deepfake and synthetic-audio AI to exploit age-related vulnerability, particularly among senior citizens, to materially distort victims’ decisions and cause significant financial harm, while also generating synthetic content subject to Article 50.",False
S092,heldout,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The general-purpose chatbots infer and generate text in direct interactions with users, but their unintended repetition of poisoned-source propaganda is not a configured prohibited manipulation practice or an Annex I or III high-risk use.",False
S093,dev,decomposed,gpt56sol,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The AI-generated medical influencers were purposefully configured to impersonate experienced OB-GYNs and promote dubious health advice, constituting a deceptive technique likely to impair informed health decisions and cause significant harm, while also generating synthetic content subject to Article 50.",False
S094,heldout,decomposed,gpt56sol,1,transparency,"{""art3_1"": ""yes"", ""art5"": ""no"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The platform uses AI to research, fact-check, and generate news text, but this journalistic content-generation function is neither prohibited nor within Annex I or III and instead triggers Article 50 transparency obligations for synthetic text.",False
S095,heldout,decomposed,gpt56sol,1,prohibited,"{""art3_1"": ""yes"", ""art5"": ""yes"", ""annex_i"": ""no"", ""annex_iii"": ""none"", ""derogation"": ""not_applicable"", ""profiling"": ""not_applicable"", ""art50"": ""yes""}","The scammers configured and deployed generative AI to create deepfakes, fake documents, and cloned interfaces that purposefully deceived an investor, materially impaired informed decision-making, and caused financial harm, while also generating synthetic content subject to Article 50.",False
