model,sample_id,step,reference,prediction,missing,match,final_match
gemini3f,S080,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S080,art50,yes,yes,False,True,True
gemini3f,S081,art5,no,no,False,True,True
gemini3f,S081,annex_i,no,no,False,True,True
gemini3f,S081,annex_iii,law_enforcement,law_enforcement,False,True,True
gemini3f,S081,derogation,does_not_apply,does_not_apply,False,True,True
gemini3f,S081,profiling,yes,yes,False,True,True
gemini3f,S081,art50,no,no,False,True,True
gemini3f,S082,art5,no,no,False,True,True
gemini3f,S082,annex_i,no,no,False,True,True
gemini3f,S082,annex_iii,essential_services,essential_services,False,True,True
gemini3f,S082,derogation,does_not_apply,does_not_apply,False,True,True
gemini3f,S082,profiling,yes,yes,False,True,True
gemini3f,S082,art50,no,no,False,True,True
gemini3f,S083,art5,no,no,False,True,True
gemini3f,S083,annex_i,no,no,False,True,True
gemini3f,S083,annex_iii,none,none,False,True,True
gemini3f,S083,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S083,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S083,art50,yes,yes,False,True,True
gemini3f,S084,art5,no,no,False,True,True
gemini3f,S084,annex_i,no,no,False,True,True
gemini3f,S084,annex_iii,none,none,False,True,True
gemini3f,S084,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S084,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S084,art50,yes,yes,False,True,True
gemini3f,S085,art5,no,no,False,True,True
gemini3f,S085,annex_i,no,no,False,True,True
gemini3f,S085,annex_iii,none,none,False,True,True
gemini3f,S085,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S085,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S085,art50,yes,yes,False,True,True
gemini3f,S086,art5,no,no,False,True,True
gemini3f,S086,annex_i,no,no,False,True,True
gemini3f,S086,annex_iii,none,none,False,True,True
gemini3f,S086,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S086,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S086,art50,yes,yes,False,True,True
gemini3f,S087,art5,no,no,False,True,True
gemini3f,S087,annex_i,no,no,False,True,True
gemini3f,S087,annex_iii,none,none,False,True,True
gemini3f,S087,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S087,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S087,art50,yes,yes,False,True,True
gemini3f,S088,art5,no,no,False,True,True
gemini3f,S088,annex_i,no,no,False,True,True
gemini3f,S088,annex_iii,none,none,False,True,True
gemini3f,S088,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S088,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S088,art50,yes,yes,False,True,True
gemini3f,S089,art5,no,no,False,True,True
gemini3f,S089,annex_i,no,no,False,True,True
gemini3f,S089,annex_iii,none,none,False,True,True
gemini3f,S089,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S089,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S089,art50,yes,yes,False,True,True
gemini3f,S090,art5,no,no,False,True,True
gemini3f,S090,annex_i,yes,yes,False,True,True
gemini3f,S090,annex_iii,none,critical_infrastructure,False,False,True
gemini3f,S090,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S090,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S090,art50,no,no,False,True,True
gemini3f,S091,art5,no,no,False,True,True
gemini3f,S091,annex_i,no,no,False,True,True
gemini3f,S091,annex_iii,none,none,False,True,True
gemini3f,S091,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S091,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S091,art50,yes,yes,False,True,True
gemini3f,S092,art5,unclear,no,False,False,True
gemini3f,S092,annex_i,no,no,False,True,True
gemini3f,S092,annex_iii,none,none,False,True,True
gemini3f,S092,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S092,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S092,art50,yes,yes,False,True,True
gemini3f,S093,art5,yes,no,False,False,False
gemini3f,S093,annex_i,no,no,False,True,False
gemini3f,S093,annex_iii,none,none,False,True,False
gemini3f,S093,derogation,not_applicable,not_applicable,False,True,False
gemini3f,S093,profiling,not_applicable,not_applicable,False,True,False
gemini3f,S093,art50,yes,yes,False,True,False
gemini3f,S094,art5,no,no,False,True,True
gemini3f,S094,annex_i,no,no,False,True,True
gemini3f,S094,annex_iii,none,none,False,True,True
gemini3f,S094,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S094,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S094,art50,yes,yes,False,True,True
gemini3f,S095,art5,yes,no,False,False,False
gemini3f,S095,annex_i,no,no,False,True,False
gemini3f,S095,annex_iii,none,none,False,True,False
gemini3f,S095,derogation,not_applicable,not_applicable,False,True,False
gemini3f,S095,profiling,not_applicable,not_applicable,False,True,False
gemini3f,S095,art50,yes,yes,False,True,False
gemini3f,S096,art5,no,no,False,True,True
gemini3f,S096,annex_i,no,no,False,True,True
gemini3f,S096,annex_iii,none,none,False,True,True
gemini3f,S096,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S096,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S096,art50,yes,yes,False,True,True
gemini3f,S097,art5,no,no,False,True,True
gemini3f,S097,annex_i,no,no,False,True,True
gemini3f,S097,annex_iii,none,none,False,True,True
gemini3f,S097,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S097,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S097,art50,yes,yes,False,True,True
gemini3f,S098,art5,no,no,False,True,True
gemini3f,S098,annex_i,no,no,False,True,True
gemini3f,S098,annex_iii,none,none,False,True,True
gemini3f,S098,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S098,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S098,art50,yes,yes,False,True,True
gemini3f,S099,art5,no,no,False,True,True
gemini3f,S099,annex_i,no,no,False,True,True
gemini3f,S099,annex_iii,none,none,False,True,True
gemini3f,S099,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S099,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S099,art50,yes,yes,False,True,True
gemini3f,S100,art5,no,no,False,True,False
gemini3f,S100,annex_i,no,no,False,True,False
gemini3f,S100,annex_iii,none,essential_services,False,False,False
gemini3f,S100,derogation,not_applicable,does_not_apply,False,False,False
gemini3f,S100,profiling,not_applicable,yes,False,False,False
gemini3f,S100,art50,no,no,False,True,False
gemini3f,S101,art5,no,no,False,True,True
gemini3f,S101,annex_i,no,no,False,True,True
gemini3f,S101,annex_iii,none,none,False,True,True
gemini3f,S101,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S101,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S101,art50,yes,yes,False,True,True
gemini3f,S102,art5,no,no,False,True,True
gemini3f,S102,annex_i,no,no,False,True,True
gemini3f,S102,annex_iii,none,none,False,True,True
gemini3f,S102,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S102,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S102,art50,yes,yes,False,True,True
gemini3f,S103,art5,no,no,False,True,True
gemini3f,S103,annex_i,no,no,False,True,True
gemini3f,S103,annex_iii,none,none,False,True,True
gemini3f,S103,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S103,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S103,art50,yes,yes,False,True,True
gemini3f,S104,art5,no,no,False,True,True
gemini3f,S104,annex_i,no,no,False,True,True
gemini3f,S104,annex_iii,none,none,False,True,True
gemini3f,S104,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S104,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S104,art50,yes,yes,False,True,True
gemini3f,S105,art5,no,no,False,True,True
gemini3f,S105,annex_i,no,no,False,True,True
gemini3f,S105,annex_iii,none,none,False,True,True
gemini3f,S105,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S105,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S105,art50,yes,yes,False,True,True
gemini3f,S106,art5,yes,no,False,False,False
gemini3f,S106,annex_i,no,no,False,True,False
gemini3f,S106,annex_iii,none,education,False,False,False
gemini3f,S106,derogation,not_applicable,does_not_apply,False,False,False
gemini3f,S106,profiling,not_applicable,no,False,False,False
gemini3f,S106,art50,yes,yes,False,True,False
gemini3f,S107,art5,no,no,False,True,True
gemini3f,S107,annex_i,no,no,False,True,True
gemini3f,S107,annex_iii,none,none,False,True,True
gemini3f,S107,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S107,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S107,art50,yes,yes,False,True,True
gemini3f,S108,art5,no,no,False,True,True
gemini3f,S108,annex_i,no,no,False,True,True
gemini3f,S108,annex_iii,none,none,False,True,True
gemini3f,S108,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S108,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S108,art50,yes,yes,False,True,True
gemini3f,S109,art5,no,no,False,True,True
gemini3f,S109,annex_i,no,no,False,True,True
gemini3f,S109,annex_iii,none,none,False,True,True
gemini3f,S109,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S109,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S109,art50,yes,yes,False,True,True
gemini3f,S110,art5,no,no,False,True,True
gemini3f,S110,annex_i,unclear,no,False,False,True
gemini3f,S110,annex_iii,none,none,False,True,True
gemini3f,S110,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S110,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S110,art50,yes,yes,False,True,True
gemini3f,S111,art5,no,no,False,True,True
gemini3f,S111,annex_i,no,no,False,True,True
gemini3f,S111,annex_iii,none,none,False,True,True
gemini3f,S111,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S111,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S111,art50,yes,yes,False,True,True
gemini3f,S112,art5,no,no,False,True,True
gemini3f,S112,annex_i,no,no,False,True,True
gemini3f,S112,annex_iii,none,none,False,True,True
gemini3f,S112,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S112,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S112,art50,yes,yes,False,True,True
gemini3f,S113,art5,no,no,False,True,True
gemini3f,S113,annex_i,no,no,False,True,True
gemini3f,S113,annex_iii,none,none,False,True,True
gemini3f,S113,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S113,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S113,art50,yes,yes,False,True,True
gemini3f,S114,art5,no,no,False,True,True
gemini3f,S114,annex_i,no,no,False,True,True
gemini3f,S114,annex_iii,none,none,False,True,True
gemini3f,S114,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S114,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S114,art50,yes,yes,False,True,True
gemini3f,S115,art5,no,no,False,True,True
gemini3f,S115,annex_i,no,no,False,True,True
gemini3f,S115,annex_iii,none,none,False,True,True
gemini3f,S115,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S115,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S115,art50,yes,yes,False,True,True
gemini3f,S116,art5,no,no,False,True,True
gemini3f,S116,annex_i,no,no,False,True,True
gemini3f,S116,annex_iii,none,none,False,True,True
gemini3f,S116,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S116,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S116,art50,yes,yes,False,True,True
gemini3f,S117,art5,no,no,False,True,True
gemini3f,S117,annex_i,no,no,False,True,True
gemini3f,S117,annex_iii,none,none,False,True,True
gemini3f,S117,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S117,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S117,art50,yes,yes,False,True,True
gemini3f,S118,art5,no,no,False,True,True
gemini3f,S118,annex_i,no,no,False,True,True
gemini3f,S118,annex_iii,none,none,False,True,True
gemini3f,S118,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S118,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S118,art50,yes,yes,False,True,True
gemini3f,S119,art5,no,no,False,True,True
gemini3f,S119,annex_i,no,no,False,True,True
gemini3f,S119,annex_iii,none,none,False,True,True
gemini3f,S119,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S119,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S119,art50,yes,yes,False,True,True
gemini3f,S120,art5,no,no,False,True,False
gemini3f,S120,annex_i,no,no,False,True,False
gemini3f,S120,annex_iii,law_enforcement,migration,False,False,False
gemini3f,S120,derogation,applies,does_not_apply,False,False,False
gemini3f,S120,profiling,no,no,False,True,False
gemini3f,S120,art50,yes,yes,False,True,False
gemini3f,S121,art5,no,no,False,True,True
gemini3f,S121,annex_i,no,no,False,True,True
gemini3f,S121,annex_iii,none,none,False,True,True
gemini3f,S121,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S121,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S121,art50,yes,yes,False,True,True
gemini3f,S122,art5,no,no,False,True,True
gemini3f,S122,annex_i,no,no,False,True,True
gemini3f,S122,annex_iii,none,none,False,True,True
gemini3f,S122,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S122,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S122,art50,yes,yes,False,True,True
gemini3f,S123,art5,yes,no,False,False,False
gemini3f,S123,annex_i,no,no,False,True,False
gemini3f,S123,annex_iii,biometrics,migration,False,False,False
gemini3f,S123,derogation,not_applicable,does_not_apply,False,False,False
gemini3f,S123,profiling,not_applicable,yes,False,False,False
gemini3f,S123,art50,no,yes,False,False,False
gemini3f,S124,art5,no,no,False,True,True
gemini3f,S124,annex_i,no,no,False,True,True
gemini3f,S124,annex_iii,none,none,False,True,True
gemini3f,S124,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S124,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S124,art50,yes,yes,False,True,True
gemini3f,S125,art5,no,no,False,True,True
gemini3f,S125,annex_i,no,no,False,True,True
gemini3f,S125,annex_iii,none,none,False,True,True
gemini3f,S125,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S125,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S125,art50,yes,yes,False,True,True
gemini3f,S126,art5,no,no,False,True,True
gemini3f,S126,annex_i,no,no,False,True,True
gemini3f,S126,annex_iii,none,none,False,True,True
gemini3f,S126,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S126,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S126,art50,yes,yes,False,True,True
gemini3f,S127,art5,yes,unclear,False,False,False
gemini3f,S127,annex_i,no,no,False,True,False
gemini3f,S127,annex_iii,none,none,False,True,False
gemini3f,S127,derogation,not_applicable,not_applicable,False,True,False
gemini3f,S127,profiling,not_applicable,not_applicable,False,True,False
gemini3f,S127,art50,no,no,False,True,False
gemini3f,S128,art5,no,no,False,True,True
gemini3f,S128,annex_i,no,no,False,True,True
gemini3f,S128,annex_iii,none,none,False,True,True
gemini3f,S128,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S128,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S128,art50,yes,yes,False,True,True
gemini3f,S129,art5,no,no,False,True,True
gemini3f,S129,annex_i,no,no,False,True,True
gemini3f,S129,annex_iii,none,none,False,True,True
gemini3f,S129,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S129,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S129,art50,yes,yes,False,True,True
gemini3f,S130,art5,no,no,False,True,True
gemini3f,S130,annex_i,no,no,False,True,True
gemini3f,S130,annex_iii,none,none,False,True,True
gemini3f,S130,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S130,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S130,art50,yes,yes,False,True,True
gemini3f,S131,art5,yes,no,False,False,False
gemini3f,S131,annex_i,no,no,False,True,False
gemini3f,S131,annex_iii,none,none,False,True,False
gemini3f,S131,derogation,not_applicable,not_applicable,False,True,False
gemini3f,S131,profiling,not_applicable,not_applicable,False,True,False
gemini3f,S131,art50,yes,yes,False,True,False
gemini3f,S132,art5,no,no,False,True,True
gemini3f,S132,annex_i,no,no,False,True,True
gemini3f,S132,annex_iii,none,none,False,True,True
gemini3f,S132,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S132,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S132,art50,yes,yes,False,True,True
gemini3f,S133,art5,no,no,False,True,True
gemini3f,S133,annex_i,no,no,False,True,True
gemini3f,S133,annex_iii,none,none,False,True,True
gemini3f,S133,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S133,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S133,art50,yes,yes,False,True,True
gemini3f,S134,art5,no,no,False,True,True
gemini3f,S134,annex_i,no,no,False,True,True
gemini3f,S134,annex_iii,none,none,False,True,True
gemini3f,S134,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S134,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S134,art50,yes,yes,False,True,True
gemini3f,S135,art5,no,no,False,True,True
gemini3f,S135,annex_i,no,no,False,True,True
gemini3f,S135,annex_iii,none,none,False,True,True
gemini3f,S135,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S135,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S135,art50,yes,yes,False,True,True
gemini3f,S136,art5,no,no,False,True,True
gemini3f,S136,annex_i,no,no,False,True,True
gemini3f,S136,annex_iii,none,none,False,True,True
gemini3f,S136,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S136,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S136,art50,yes,yes,False,True,True
gemini3f,S137,art5,no,no,False,True,True
gemini3f,S137,annex_i,no,no,False,True,True
gemini3f,S137,annex_iii,none,none,False,True,True
gemini3f,S137,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S137,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S137,art50,yes,yes,False,True,True
gemini3f,S138,art5,no,no,False,True,True
gemini3f,S138,annex_i,yes,yes,False,True,True
gemini3f,S138,annex_iii,none,critical_infrastructure,False,False,True
gemini3f,S138,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S138,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S138,art50,no,no,False,True,True
gemini3f,S139,art5,no,no,False,True,True
gemini3f,S139,annex_i,no,no,False,True,True
gemini3f,S139,annex_iii,none,migration,False,False,True
gemini3f,S139,derogation,not_applicable,applies,False,False,True
gemini3f,S139,profiling,not_applicable,no,False,False,True
gemini3f,S139,art50,yes,yes,False,True,True
gemini3f,S140,art5,no,no,False,True,False
gemini3f,S140,annex_i,unclear,no,False,False,False
gemini3f,S140,annex_iii,unclear,none,False,False,False
gemini3f,S140,derogation,unclear,not_applicable,False,False,False
gemini3f,S140,profiling,unclear,not_applicable,False,False,False
gemini3f,S140,art50,unclear,yes,False,False,False
gemini3f,S141,art5,no,no,False,True,True
gemini3f,S141,annex_i,no,no,False,True,True
gemini3f,S141,annex_iii,none,none,False,True,True
gemini3f,S141,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S141,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S141,art50,yes,yes,False,True,True
gemini3f,S142,art5,no,no,False,True,True
gemini3f,S142,annex_i,yes,yes,False,True,True
gemini3f,S142,annex_iii,none,critical_infrastructure,False,False,True
gemini3f,S142,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S142,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S142,art50,no,no,False,True,True
gemini3f,S143,art5,yes,unclear,False,False,False
gemini3f,S143,annex_i,no,no,False,True,False
gemini3f,S143,annex_iii,none,justice_democracy,False,False,False
gemini3f,S143,derogation,not_applicable,does_not_apply,False,False,False
gemini3f,S143,profiling,not_applicable,no,False,False,False
gemini3f,S143,art50,yes,yes,False,True,False
gemini3f,S144,art5,no,no,False,True,False
gemini3f,S144,annex_i,no,no,False,True,False
gemini3f,S144,annex_iii,none,employment,False,False,False
gemini3f,S144,derogation,not_applicable,does_not_apply,False,False,False
gemini3f,S144,profiling,not_applicable,yes,False,False,False
gemini3f,S144,art50,no,no,False,True,False
gemini3f,S145,art5,no,no,False,True,True
gemini3f,S145,annex_i,no,no,False,True,True
gemini3f,S145,annex_iii,none,none,False,True,True
gemini3f,S145,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S145,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S145,art50,yes,yes,False,True,True
gemini3f,S146,art5,no,no,False,True,True
gemini3f,S146,annex_i,yes,yes,False,True,True
gemini3f,S146,annex_iii,none,critical_infrastructure,False,False,True
gemini3f,S146,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S146,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S146,art50,no,no,False,True,True
gemini3f,S147,art5,no,no,False,True,True
gemini3f,S147,annex_i,no,no,False,True,True
gemini3f,S147,annex_iii,none,none,False,True,True
gemini3f,S147,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S147,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S147,art50,yes,yes,False,True,True
gemini3f,S148,art5,no,no,False,True,True
gemini3f,S148,annex_i,no,no,False,True,True
gemini3f,S148,annex_iii,none,none,False,True,True
gemini3f,S148,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S148,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S148,art50,yes,yes,False,True,True
gemini3f,S149,art5,no,no,False,True,True
gemini3f,S149,annex_i,no,no,False,True,True
gemini3f,S149,annex_iii,none,none,False,True,True
gemini3f,S149,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S149,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S149,art50,yes,yes,False,True,True
gemini3f,S150,art5,no,no,False,True,True
gemini3f,S150,annex_i,no,no,False,True,True
gemini3f,S150,annex_iii,none,none,False,True,True
gemini3f,S150,derogation,not_applicable,not_applicable,False,True,True
gemini3f,S150,profiling,not_applicable,not_applicable,False,True,True
gemini3f,S150,art50,yes,yes,False,True,True
gemma27b,S001,art5,no,no,False,True,True
gemma27b,S001,annex_i,no,no,False,True,True
gemma27b,S001,annex_iii,none,none,False,True,True
gemma27b,S001,derogation,not_applicable,not_applicable,False,True,True
gemma27b,S001,profiling,not_applicable,not_applicable,False,True,True
gemma27b,S001,art50,no,no,False,True,True
gemma27b,S002,art5,no,no,False,True,True
gemma27b,S002,annex_i,no,no,False,True,True
gemma27b,S002,annex_iii,none,none,False,True,True
gemma27b,S002,derogation,not_applicable,not_applicable,False,True,True
gemma27b,S002,profiling,not_applicable,no,False,False,True
gemma27b,S002,art50,yes,yes,False,True,True
gemma27b,S003,art5,no,no,False,True,True
gemma27b,S003,annex_i,no,no,False,True,True
gemma27b,S003,annex_iii,none,none,False,True,True
gemma27b,S003,derogation,not_applicable,not_applicable,False,True,True
gemma27b,S003,profiling,not_applicable,not_applicable,False,True,True
gemma27b,S003,art50,yes,yes,False,True,True
gemma27b,S004,art5,no,unclear,False,False,False
gemma27b,S004,annex_i,no,no,False,True,False
gemma27b,S004,annex_iii,none,none,False,True,False
gemma27b,S004,derogation,not_applicable,not_applicable,False,True,False
gemma27b,S004,profiling,not_applicable,no,False,False,False
gemma27b,S004,art50,yes,no,False,False,False
gemma27b,S005,art5,no,no,False,True,True
gemma27b,S005,annex_i,no,unclear,False,False,True
gemma27b,S005,annex_iii,migration,biometrics,False,False,True
gemma27b,S005,derogation,does_not_apply,not_applicable,False,False,True
gemma27b,S005,profiling,no,yes,False,False,True
gemma27b,S005,art50,no,no,False,True,True
gemma27b,S006,art5,no,no,False,True,True
gemma27b,S006,annex_i,no,no,False,True,True
gemma27b,S006,annex_iii,essential_services,essential_services,False,True,True
gemma27b,S006,derogation,does_not_apply,does_not_apply,False,True,True
gemma27b,S006,profiling,yes,yes,False,True,True
gemma27b,S006,art50,no,no,False,True,True
gemma27b,S007,art5,no,no,False,True,True
gemma27b,S007,annex_i,no,unclear,False,False,True
gemma27b,S007,annex_iii,migration,biometrics,False,False,True
gemma27b,S007,derogation,does_not_apply,not_applicable,False,False,True
gemma27b,S007,profiling,no,yes,False,False,True
gemma27b,S007,art50,no,no,False,True,True
gemma27b,S008,art5,no,no,False,True,True
gemma27b,S008,annex_i,yes,yes,False,True,True
gemma27b,S008,annex_iii,none,critical_infrastructure,False,False,True
gemma27b,S008,derogation,not_applicable,not_applicable,False,True,True
gemma27b,S008,profiling,not_applicable,not_applicable,False,True,True
gemma27b,S008,art50,no,no,False,True,True
gemma27b,S009,art5,no,no,False,True,True
gemma27b,S009,annex_i,yes,yes,False,True,True
gemma27b,S009,annex_iii,none,none,False,True,True
gemma27b,S009,derogation,not_applicable,not_applicable,False,True,True
gemma27b,S009,profiling,not_applicable,not_applicable,False,True,True
gemma27b,S009,art50,no,no,False,True,True
gemma27b,S010,art5,yes,no,False,False,False
gemma27b,S010,annex_i,no,unclear,False,False,False
gemma27b,S010,annex_iii,biometrics,biometrics,False,True,False
gemma27b,S010,derogation,not_applicable,not_applicable,False,True,False
gemma27b,S010,profiling,not_applicable,yes,False,False,False
gemma27b,S010,art50,yes,no,False,False,False
gemma27b,S011,art5,no,no,False,True,True
gemma27b,S011,annex_i,no,unclear,False,False,True
gemma27b,S011,annex_iii,biometrics,biometrics,False,True,True
gemma27b,S011,derogation,does_not_apply,not_applicable,False,False,True
gemma27b,S011,profiling,no,yes,False,False,True
gemma27b,S011,art50,no,no,False,True,True
gemma27b,S012,art5,no,no,False,True,True
gemma27b,S012,annex_i,no,unclear,False,False,True
gemma27b,S012,annex_iii,essential_services,essential_services,False,True,True
gemma27b,S012,derogation,does_not_apply,does_not_apply,False,True,True
gemma27b,S012,profiling,yes,yes,False,True,True
gemma27b,S012,art50,no,no,False,True,True
gemma27b,S013,art5,no,no,False,True,True
gemma27b,S013,annex_i,no,unclear,False,False,True
gemma27b,S013,annex_iii,law_enforcement,law_enforcement,False,True,True
gemma27b,S013,derogation,does_not_apply,not_applicable,False,False,True
gemma27b,S013,profiling,no,no,False,True,True
gemma27b,S013,art50,no,no,False,True,True
gemma27b,S014,art5,no,no,False,True,False
gemma27b,S014,annex_i,no,no,False,True,False
gemma27b,S014,annex_iii,none,none,False,True,False
gemma27b,S014,derogation,not_applicable,not_applicable,False,True,False
gemma27b,S014,profiling,not_applicable,not_applicable,False,True,False
gemma27b,S014,art50,no,no,False,True,False
gemma27b,S015,art5,no,yes,False,False,False
gemma27b,S015,annex_i,no,no,False,True,False
gemma27b,S015,annex_iii,none,none,False,True,False
gemma27b,S015,derogation,not_applicable,not_applicable,False,True,False
gemma27b,S015,profiling,not_applicable,not_applicable,False,True,False
gemma27b,S015,art50,no,no,False,True,False
gemma27b,S016,art5,no,no,False,True,True
gemma27b,S016,annex_i,yes,yes,False,True,True
gemma27b,S016,annex_iii,none,none,False,True,True
gemma27b,S016,derogation,not_applicable,not_applicable,False,True,True
gemma27b,S016,profiling,not_applicable,not_applicable,False,True,True
gemma27b,S016,art50,no,no,False,True,True
gemma27b,S017,art5,no,no,False,True,True
gemma27b,S017,annex_i,no,unclear,False,False,True
gemma27b,S017,annex_iii,biometrics,biometrics,False,True,True
gemma27b,S017,derogation,does_not_apply,not_applicable,False,False,True
gemma27b,S017,profiling,no,yes,False,False,True
gemma27b,S017,art50,no,no,False,True,True
gemma27b,S018,art5,no,no,False,True,True
gemma27b,S018,annex_i,no,no,False,True,True
gemma27b,S018,annex_iii,none,none,False,True,True
gemma27b,S018,derogation,not_applicable,not_applicable,False,True,True
gemma27b,S018,profiling,not_applicable,not_applicable,False,True,True
gemma27b,S018,art50,yes,yes,False,True,True
gemma27b,S020,art5,no,no,False,True,True
gemma27b,S020,annex_i,no,unclear,False,False,True
